sentence,intent
"Sir, UPI is not working today",upi_issue
Help me to UPI transaction pending immediately,upi_issue
UPI issue now,upi_issue
"Hi, UPI issue",upi_issue
Help me to UPI transaction pending as soon as possible,upi_issue
Please UPI issue,upi_issue
"Hi, UPI is not working now",upi_issue
Kindly UPI issue now,upi_issue
Kindly update my KYC as soon as possible,kyc_update
"Hi, KYC verification immediately",kyc_update
KYC update process as soon as possible,kyc_update
Help me to KYC update process immediately,kyc_update
"Hi, KYC documents today",kyc_update
"Hello, KYC update process",kyc_update
Kindly KYC update process as soon as possible,kyc_update
"Hello, KYC update process as soon as possible",kyc_update
"Hi, KYC documents as soon as possible",kyc_update
KYC verification as soon as possible,kyc_update
"Hi, update my KYC now",kyc_update
Help me to update my KYC today,kyc_update
"Sir, how to update KYC immediately",kyc_update
Help me to how to update KYC,kyc_update
Can you KYC update process today,kyc_update
how to update KYC now,kyc_update
"Hi, how to update KYC now",kyc_update
Please update my KYC as soon as possible,kyc_update
update my KYC today,kyc_update
Can you KYC documents today,kyc_update
"Sir, KYC documents",kyc_update
"Hi, how to update KYC please",kyc_update
"Sir, update my KYC",kyc_update
update my KYC,kyc_update
Can you how to update KYC now,kyc_update
Can you KYC update process,kyc_update
Can you update my KYC immediately,kyc_update
KYC documents now,kyc_update
"Sir, KYC documents today",kyc_update
"Hello, how to update KYC immediately",kyc_update
Can you update my KYC,kyc_update
"Hi, KYC documents please",kyc_update
"Sir, KYC verification now",kyc_update
"Sir, KYC documents please",kyc_update
Help me to how to update KYC please,kyc_update
"Sir, update my KYC as soon as possible",kyc_update
Help me to how to update KYC immediately,kyc_update
"Hi, how to update KYC now",kyc_update
"Hello, KYC documents please",kyc_update
"Hello, KYC verification",kyc_update
Please KYC verification today,kyc_update
"Sir, update my KYC as soon as possible",kyc_update
Kindly KYC verification please,kyc_update
Help me to how to update KYC immediately,kyc_update
"Hi, update my KYC today",kyc_update
Can you KYC documents as soon as possible,kyc_update
Can you KYC verification immediately,kyc_update
Can you how to update KYC as soon as possible,kyc_update
Please KYC verification,kyc_update
Please KYC update process now,kyc_update
Help me to KYC documents immediately,kyc_update
update my KYC today,kyc_update
"Hello, how to update KYC please",kyc_update
Please update my KYC immediately,kyc_update
"Hi, how to update KYC today",kyc_update
KYC update process now,kyc_update
Help me to KYC documents,kyc_update
"Hi, KYC verification immediately",kyc_update
Kindly KYC documents now,kyc_update
Please KYC update process as soon as possible,kyc_update
"Sir, KYC documents now",kyc_update
Help me to KYC documents,kyc_update
"Hello, how to update KYC",kyc_update
Kindly KYC documents today,kyc_update
Kindly KYC verification immediately,kyc_update
I want to KYC documents as soon as possible,kyc_update
Can you how to update KYC as soon as possible,kyc_update
Help me to KYC verification please,kyc_update
"Hi, KYC documents as soon as possible",kyc_update
Please how to update KYC as soon as possible,kyc_update
update my KYC,kyc_update
I want to KYC update process immediately,kyc_update
Help me to KYC documents please,kyc_update
"Sir, KYC verification",kyc_update
I want to how to update KYC please,kyc_update
"Hello, update my KYC as soon as possible",kyc_update
Please KYC documents,kyc_update
Help me to how to update KYC please,kyc_update
"Hello, update my KYC today",kyc_update
Please update my KYC please,kyc_update
Can you update my KYC please,kyc_update
"Hi, KYC update process now",kyc_update
Help me to KYC update process,kyc_update
Kindly update my KYC please,kyc_update
"Hi, update my KYC now",kyc_update
Help me to update my KYC as soon as possible,kyc_update
Please KYC documents now,kyc_update
Kindly KYC update process,kyc_update
Can you KYC documents as soon as possible,kyc_update
Kindly KYC verification,kyc_update
"Hello, how to update KYC immediately",kyc_update
Help me to KYC verification as soon as possible,kyc_update
"Sir, KYC update process as soon as possible",kyc_update
Please KYC documents please,kyc_update
"Sir, KYC update process please",kyc_update
"Hello, KYC update process as soon as possible",kyc_update
Can you KYC documents today,kyc_update
"Hello, how to update KYC now",kyc_update
"Sir, update my KYC",kyc_update
Help me to KYC documents as soon as possible,kyc_update
Please KYC verification immediately,kyc_update
update my KYC now,kyc_update
"Hi, KYC verification immediately",kyc_update
KYC verification today,kyc_update
"Hello, KYC update process as soon as possible",kyc_update
"Hello, KYC update process now",kyc_update
Kindly KYC update process as soon as possible,kyc_update
"Hi, KYC verification please",kyc_update
update my KYC as soon as possible,kyc_update
Can you KYC verification as soon as possible,kyc_update
Please update my KYC please,kyc_update
Can you KYC documents as soon as possible,kyc_update
KYC documents as soon as possible,kyc_update
Please KYC documents today,kyc_update
"Sir, KYC update process",kyc_update
"Sir, KYC verification",kyc_update
Help me to KYC documents today,kyc_update
KYC documents please,kyc_update
"Hello, KYC documents please",kyc_update
Please KYC update process as soon as possible,kyc_update
"Sir, how to update KYC now",kyc_update
"Hi, KYC update process today",kyc_update
Please KYC verification please,kyc_update
I want to KYC documents now,kyc_update
KYC update process as soon as possible,kyc_update
I want to update my KYC please,kyc_update
"Sir, update my KYC as soon as possible",kyc_update
"Sir, update my KYC",kyc_update
"Sir, update my KYC as soon as possible",kyc_update
"Sir, update my KYC immediately",kyc_update
Please KYC update process as soon as possible,kyc_update
how to update KYC immediately,kyc_update
"Hello, KYC verification",kyc_update
how to update KYC immediately,kyc_update
"Hi, KYC update process now",kyc_update
Please update my KYC immediately,kyc_update
"Sir, KYC documents please",kyc_update
I want to how to update KYC now,kyc_update
Please how to update KYC,kyc_update
I want to how to update KYC now,kyc_update
"Hello, KYC verification now",kyc_update
"Sir, update my KYC immediately",kyc_update
"Hello, update my KYC as soon as possible",kyc_update
"Hello, update my KYC please",kyc_update
Help me to how to update KYC today,kyc_update
KYC update process as soon as possible,kyc_update
"Hi, update my KYC please",kyc_update
how to update KYC,kyc_update
Kindly KYC documents today,kyc_update
Please update my KYC,kyc_update
Please KYC update process immediately,kyc_update
"Hello, how to update KYC today",kyc_update
I want to update my KYC,kyc_update
"Sir, how to update KYC today",kyc_update
"Hello, KYC documents please",kyc_update
KYC verification immediately,kyc_update
"Sir, KYC update process today",kyc_update
Help me to KYC update process please,kyc_update
Help me to KYC documents now,kyc_update
I want to KYC update process immediately,kyc_update
Kindly KYC documents as soon as possible,kyc_update
Can you update my KYC now,kyc_update
"Sir, update my KYC today",kyc_update
Help me to KYC verification now,kyc_update
"Sir, KYC update process",kyc_update
"Hello, KYC update process now",kyc_update
I want to KYC documents as soon as possible,kyc_update
I want to KYC documents immediately,kyc_update
KYC update process as soon as possible,kyc_update
Please KYC verification as soon as possible,kyc_update
KYC update process please,kyc_update
I want to KYC verification as soon as possible,kyc_update
Please KYC verification,kyc_update
"Hi, update my KYC as soon as possible",kyc_update
"Hello, KYC verification today",kyc_update
"Sir, KYC documents as soon as possible",kyc_update
"Sir, KYC verification today",kyc_update
Please how to update KYC as soon as possible,kyc_update
I want to update my KYC,kyc_update
Help me to KYC documents now,kyc_update
update my KYC now,kyc_update
"Hi, update my KYC now",kyc_update
Can you update my KYC please,kyc_update
"Sir, KYC documents now",kyc_update
Can you KYC verification,kyc_update
"Hello, KYC verification as soon as possible",kyc_update
"Hello, KYC verification now",kyc_update
"Hi, KYC update process today",kyc_update
Kindly how to update KYC today,kyc_update
Help me to KYC verification,kyc_update
Kindly KYC update process as soon as possible,kyc_update
Can you KYC documents now,kyc_update
"Hi, KYC update process please",kyc_update
Kindly KYC documents,kyc_update
Can you how to update KYC as soon as possible,kyc_update
Kindly KYC update process please,kyc_update
I want to KYC verification now,kyc_update
how to update KYC immediately,kyc_update
Can you update my KYC please,kyc_update
Please KYC verification,kyc_update
